age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign_above_2,pdays,previous,poutcome,subscribed_deposit,e,wt,v,TE
59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,0,-1,0,unknown,1,0.2286642018505878,1.2964522097887827,1.2964522097887827,0
56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,0,-1,0,unknown,1,0.20415943204238818,1.2565330799437986,1.2565330799437986,0
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,0,-1,0,unknown,1,0.3066430154706506,1.4422584935504756,1.4422584935504756,0
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,0,-1,0,unknown,1,0.23853970914334985,1.31326611775775,1.31326611775775,0
54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,0,-1,0,unknown,1,0.20590894986744696,1.2593014363190163,1.2593014363190163,0
42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,0,-1,0,unknown,1,0.26834782825248366,1.3667696736436217,1.3667696736436217,0
56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,0,-1,0,unknown,1,0.31060634241420665,1.4505500435004401,1.4505500435004401,0
60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,0,-1,0,unknown,1,0.2178183540461555,1.2784754093539656,1.2784754093539656,0
37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,0,-1,0,unknown,1,0.31505475587560877,1.4599707182117354,1.4599707182117354,0
28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,1,-1,0,unknown,1,0.23334181577891663,4.285558491357013,4.285558491357013,0
38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,0,-1,0,unknown,1,0.21766267611586154,1.2782210045089153,1.2782210045089153,0
30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,0,-1,0,unknown,1,0.2794251500122304,1.3877808808022833,1.3877808808022833,0
29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,1,-1,0,unknown,1,0.365315335212102,2.737361133277912,2.737361133277912,0
