age,educ,black,hispan,married,nodegree,treat,re78,e,wt,v,TE
37,11,1,0,1,1,1,9930.046,0.5664146110341155,1.7654911799931825,17531.40862992658,0
22,9,0,1,0,1,1,3595.894,0.1989964324713943,5.025215716587027,18070.143043980992,0
30,12,1,0,0,0,1,24909.45,0.6282851007216176,1.591634114594551,39646.73039578724,0
27,11,1,0,0,1,1,7506.146,0.7457330473380305,1.3409624309524717,10065.459787244172,0
33,8,1,0,0,1,1,289.7899,0.6731406788688142,1.4855735678914246,430.5042156818991,0
22,9,1,0,0,1,1,4056.494,0.6831111348019803,1.4638906453923917,5938.263619690365,0
23,12,1,0,0,0,1,0.0,0.6150840629786539,1.62579403400134,0.0,0
32,11,1,0,0,1,1,8472.158,0.7532604849114191,1.3275620054828663,11247.31506524771,0
22,16,1,0,0,0,1,2164.022,0.7303262051434033,1.3692511551104,2963.089623184318,0
33,12,0,0,1,0,1,12418.07,0.0386778647372138,25.854581342435186,321064.0009310541,0
19,9,1,0,0,1,1,8173.908,0.6778807292433335,1.4751857618319133,12058.032700123971,0
21,13,1,0,0,0,1,17094.64,0.6425816204504561,1.5562225376116268,26603.06404035721,0
18,8,1,0,0,1,1,0.0,0.646145678364332,1.5476386107408826,0.0,0
27,10,1,0,1,1,1,18739.93,0.5132861003719512,1.9482312092132497,36509.71648447165,0
17,7,1,0,0,1,1,3023.879,0.6130687096453227,1.631138540048028,4932.3655773418905,0
19,10,1,0,0,1,1,3228.503,0.706395215260376,1.41563812777441,4570.391942434067,0
27,13,1,0,0,0,1,14581.86,0.6535545740725915,1.530094103340983,22311.618001743747,0
23,10,1,0,0,1,1,7693.4,0.71300348336729,1.4025176921679487,10790.129612924897,0
40,12,1,0,0,0,1,10804.32,0.6468123563448741,1.5460434393229334,16703.948052345557,0
26,12,1,0,0,0,1,10747.35,0.6207636857155236,1.6109189745004968,17313.110040597916,0
23,11,1,0,0,1,1,0.0,0.739603167507935,1.3520764160184202,0.0,0
41,14,0,0,0,0,1,5149.501,0.1200271242966318,8.33145012729478,42902.8107619546,0
38,9,0,0,0,1,1,6408.95,0.1216795591254433,8.21830722585926,52670.7200951707,0
24,11,1,0,0,1,1,1991.4,0.7411445767658781,1.3492644098722082,2686.925145819516,0
18,10,1,0,0,1,1,11163.17,0.7047293211130307,1.4189845236191203,15840.365464529255,0
29,11,1,0,1,1,1,9642.999,0.5505976401656197,1.816208292682112,17513.694750125313,0
25,11,1,0,0,1,1,9897.049,0.7426800362068812,1.3464748629939471,13326.127696319383,0
27,10,0,1,0,1,1,11142.87,0.2281841928061196,4.382424512856883,48832.786631577575,0
17,10,1,0,0,1,1,16218.04,0.7030579481314871,1.4223578620477786,23067.85670100536,0
24,11,1,0,0,1,1,995.7002,0.7411445767658781,1.3492644098722082,1343.4628427626396,0
17,10,1,0,0,1,1,0.0,0.7030579481314871,1.4223578620477786,0.0,0
48,4,1,0,0,1,1,6551.592,0.5761884874376598,1.735543180404475,11370.570816392514,0
25,11,1,0,1,1,1,1574.424,0.5426485526621357,1.8428133551525765,2901.36957387274,0
20,12,1,0,0,0,1,0.0,0.6093729055613574,1.6410312812953096,0.0,0
25,12,1,0,0,0,1,3191.753,0.6188740672064189,1.6158376202673566,5157.354572001196,0
42,14,1,0,0,0,1,20505.93,0.7086582335216588,1.4111174508345523,28936.27566859177,0
25,5,1,0,0,1,1,6181.88,0.5638003521709005,1.7736775015296151,10964.661473155897,0
23,12,1,0,1,0,1,5911.551,0.3964685874972086,2.5222679211806174,14910.5154517232,0
46,8,1,0,1,1,1,3094.156,0.4844390359540513,2.064243229347953,6387.090573546345,0
24,10,1,0,0,1,1,0.0,0.7146415978445989,1.399302815587644,0.0,0
21,12,1,0,0,0,1,1254.582,0.6112800426460187,1.635911415774917,2052.385015825728,0
19,9,0,0,0,1,1,13188.83,0.1063117478722234,9.406298175079431,124058.06756043286,0
17,8,1,0,0,1,1,8061.485,0.6443100644050774,1.5520477720976595,12511.8098340487,0
18,8,0,1,1,1,1,2787.96,0.0796229896139336,12.559186798293808,35014.510426171204,0
20,11,1,0,0,1,1,3972.54,0.7349433953083884,1.360649005601842,5405.232600713541,0
25,11,1,0,1,1,1,0.0,0.5426485526621357,1.8428133551525765,0.0,0
17,8,1,0,0,1,1,0.0,0.6443100644050774,1.5520477720976595,0.0,0
17,9,1,0,0,1,1,0.0,0.6743687586603566,1.4828682188458946,0.0,0
25,5,1,0,0,1,1,12187.41,0.5638003521709005,1.7736775015296151,21616.534918917045,0
23,12,1,0,0,0,1,4843.176,0.6150840629786539,1.62579403400134,7874.006646418474,0
28,8,1,0,0,1,1,0.0,0.6642584284274391,1.5054381806902974,0.0,0
31,11,1,0,1,1,1,8087.487,0.5545627715005346,1.803222378765532,14583.537546375312,0
18,11,1,0,0,1,1,0.0,0.7318074234210205,1.3664797158318578,0.0,0
25,12,1,0,0,0,1,2348.973,0.6188740672064189,1.6158376202673566,3795.558942392274,0
30,11,1,0,1,1,1,590.7818,0.5525810417707704,1.809689302397085,1069.1315035108942,0
17,10,1,0,0,1,1,0.0,0.7030579481314871,1.4223578620477786,0.0,0
37,9,1,0,0,1,1,1067.506,0.7085580665746183,1.4113169367110578,1506.5892978406746,0
41,4,1,0,1,1,1,7284.986,0.3457163958104098,2.8925443285842825,21072.144938115896,0
42,14,1,0,1,0,1,13167.52,0.4999852698518405,2.000058922328507,26335.815860939063,0
22,11,0,0,0,1,1,1048.432,0.1373895790754921,7.2785724123263,7631.088231400087,0
17,8,1,0,0,1,1,0.0,0.6443100644050774,1.5520477720976595,0.0,0
29,8,1,0,0,1,1,1923.938,0.6660444539728579,1.501401286408356,2888.60298816992,0
35,10,1,0,0,1,1,4666.236,0.7322844631549952,1.3655895356451666,6372.163052450759,0
27,11,1,0,0,1,1,549.2984,0.7457330473380305,1.3409624309524717,736.5885177823031,0
29,4,1,0,0,1,1,762.9146,0.5386192491891156,1.8565990753310195,1416.4265409165343,0
28,9,1,0,0,1,1,10694.29,0.6934334368247632,1.4420994819329849,15422.2300686411,0
27,11,1,0,0,1,1,0.0,0.7457330473380305,1.3409624309524717,0.0,0
23,7,0,0,0,1,1,0.0,0.0859054389876827,11.64070647661066,0.0,0
45,5,1,0,1,1,1,8546.715,0.3841535369203029,2.603125843944687,22248.17469732972,0
29,13,1,0,0,0,1,7479.656,0.657176909338917,1.5216602801914385,11381.495444695573,0
27,9,1,0,0,1,1,0.0,0.6917260934403434,1.4456589240785134,0.0,0
46,13,1,0,0,0,1,647.2046,0.6872000239054988,1.4551803917537642,941.7994433728384,0
18,6,1,0,0,1,1,0.0,0.5828193810523044,1.7157974365822546,0.0,0
25,12,1,0,0,0,1,11965.81,0.6188740672064189,1.6158376202673566,19334.805954971336,0
28,15,1,0,0,0,1,9598.541,0.713102741086599,1.402322473864338,13460.249760608276,0
25,11,0,0,0,1,1,18783.35,0.1402656076120218,7.129331395091697,133912.7268599956,0
22,12,1,0,0,0,1,18678.08,0.6131837791039682,1.6308324422105194,30460.818822203462,0
21,9,1,0,0,1,1,0.0,0.6813727190325857,1.467625533085331,0.0,0
40,11,1,0,0,1,1,23005.6,0.7649891202588011,1.3072081334459935,30073.107434805148,0
22,11,1,0,0,1,1,6456.697,0.7380558236302749,1.3549110622571887,8748.250190942803,0
25,12,1,0,0,0,1,0.0,0.6188740672064189,1.6158376202673566,0.0,0
18,12,1,0,0,0,1,2321.107,0.6055486393571633,1.6513950077760513,3833.064512314047,0
38,12,0,0,0,0,1,4941.849,0.0924557723884771,10.815982325021723,53450.95143692629,0
27,13,1,0,0,0,1,0.0,0.6535545740725915,1.530094103340983,0.0,0
27,8,1,0,0,1,1,0.0,0.662467691645729,1.5095075769140671,0.0,0
38,11,1,0,0,1,1,0.0,0.7620935575276899,1.3121748506103412,0.0,0
23,8,0,1,0,1,1,3881.284,0.1796898301472365,5.565145223748094,21599.90911460989,0
26,11,1,0,0,1,1,17230.96,0.7442095311319301,1.3437075960032612,23153.37183842836,0
21,12,0,0,0,0,1,8048.603,0.0816351612406486,12.249623627889276,98592.35748030052,0
25,8,1,0,0,1,1,0.0,0.6588722414265757,1.5177449240156513,0.0,0
31,11,1,0,1,1,1,14509.93,0.5545627715005346,1.803222378765532,26164.63049032136,0
17,10,1,0,0,1,1,0.0,0.7030579481314871,1.4223578620477786,0.0,0
25,11,1,0,0,1,1,0.0,0.7426800362068812,1.3464748629939471,0.0,0
21,12,1,0,0,0,1,9983.784,0.6112800426460187,1.635911415774917,16332.586218230965,0
44,11,1,0,0,1,1,0.0,0.7707066701124847,1.2975105040339794,0.0,0
25,12,0,0,0,0,1,5587.503,0.0840724201768799,11.894507115366729,66460.59419063294,0
18,9,1,0,0,1,1,4482.845,0.6761272240250764,1.479011589042171,6630.17970687975,0
42,12,1,0,0,0,1,2456.153,0.6504674845110227,1.5373558614566756,3775.9812111843976,0
25,10,1,0,0,1,1,0.0,0.7162740829698113,1.3961136159691916,0.0,0
31,9,0,1,0,1,1,26817.6,0.2107504828799104,4.744947609775199,127248.10701990736,0
24,10,1,0,0,1,1,0.0,0.7146415978445989,1.399302815587644,0.0,0
26,10,1,0,0,1,1,9265.788,0.7179009154943173,1.3929498882327525,12906.77835898838,0
25,11,1,0,0,1,1,485.2298,0.7426800362068812,1.3464748629939471,653.3497284755804,0
18,11,1,0,0,1,1,4814.627,0.7318074234210205,1.3664797158318578,6579.090134796391,0
19,11,1,0,0,1,1,7458.105,0.7333783437683894,1.363552671683217,10169.518998443958,0
43,9,1,0,0,1,1,0.0,0.7183931724421472,1.391995411928182,0.0,0
27,13,1,0,0,0,1,34099.28,0.6535545740725915,1.530094103340983,52175.10725617311,0
17,9,1,0,0,1,1,1953.268,0.6743687586603566,1.4828682188458946,2896.4390400886828,0
30,11,1,0,0,1,1,0.0,0.7502675890051926,1.3328577892134947,0.0,0
26,10,1,0,1,1,1,0.0,0.511282566605757,1.955865631481792,0.0,0
20,9,1,0,0,1,1,8881.665,0.6796292391330444,1.4713904911972744,13068.397426999642,0
17,9,0,1,0,1,1,6210.67,0.1926824738673608,5.189885618182285,32232.66691227617,0
20,12,1,0,0,0,1,0.0,0.6093729055613574,1.6410312812953096,0.0,0
18,11,1,0,0,1,1,929.8839,0.7318074234210205,1.3664797158318578,1270.6674874286198,0
27,12,1,0,1,0,1,0.0,0.4041686703631916,2.474214537958585,0.0,0
21,12,0,0,0,0,1,12558.02,0.0816351612406486,12.249623627889276,153831.0185115061,0
27,12,1,0,0,0,1,22163.25,0.6226496479630057,1.6060396135635724,35595.05746531284,0
20,12,1,0,0,0,1,1652.637,0.6093729055613574,1.6410312812953096,2712.0290136260364,0
19,10,1,0,0,1,1,8124.715,0.706395215260376,1.41563812777441,11501.656331300666,0
23,12,1,0,0,0,1,671.3318,0.6150840629786539,1.62579403400134,1091.4472352753808,0
29,14,1,0,0,0,1,17814.98,0.6866770218527175,1.4562887182418138,25943.754389703547,0
18,10,1,0,0,1,1,9737.154,0.7047293211130307,1.4189845236191203,13816.870830096015,0
19,9,1,0,0,1,1,17685.18,0.6778807292433335,1.4751857618319133,26088.92573143452,0
27,13,0,0,1,0,1,0.0,0.0419964978152809,23.811509340575,0.0,0
18,11,0,0,0,1,1,4321.705,0.1336321656129811,7.483228273768686,32340.3050468875,0
27,9,1,0,1,1,1,1773.423,0.4798274823589983,2.084082377031956,3695.959621323142,0
22,12,1,0,0,0,1,0.0,0.6131837791039682,1.6308324422105194,0.0,0
23,10,1,0,1,1,1,11233.26,0.5052700473168459,1.9791396804745045,22232.190607087032,0
23,12,0,1,0,0,1,559.4432,0.1555194428324022,6.43006418867938,3597.255685920197,0
20,11,1,0,0,1,1,1085.44,0.7349433953083884,1.360649005601842,1476.9028566404634,0
17,9,1,0,0,1,1,5445.2,0.6743687586603566,1.4828682188458946,8074.514025259665,0
28,11,1,0,0,1,1,60307.93,0.7472505711159522,1.3382391913151557,80706.43547309101,0
26,11,1,0,1,1,1,1460.36,0.544638022438858,1.8360818723636976,2681.340523125049,0
20,11,1,0,0,1,1,6943.342,0.7349433953083884,1.360649005601842,9447.451387853504,0
24,11,1,0,1,1,1,4032.708,0.5406577216371703,1.849599034620076,7458.892823704658,0
31,9,1,0,0,1,1,10363.27,0.6985236172035126,1.431590822946582,14835.962227717628,0
23,8,0,0,1,1,1,4232.309,0.0423006547280166,23.64029602921676,100053.03764711836,0
18,10,1,0,0,1,1,11141.39,0.7047293211130307,1.4189845236191203,15809.459981604832,0
29,12,1,0,0,0,1,0.0,0.6264104046720844,1.5963974936263767,0.0,0
26,11,0,0,0,1,1,13385.86,0.1412354189426905,7.080376915975819,94776.93414448408,0
24,9,1,0,0,1,1,4849.559,0.686572640005036,1.4565101225016264,7063.431773168865,0
25,12,1,0,0,0,1,0.0,0.6188740672064189,1.6158376202673566,0.0,0
24,10,1,0,0,1,1,1660.508,0.7146415978445989,1.399302815587644,2323.5535197058075,0
46,8,1,0,0,1,1,0.0,0.6956506326846291,1.4375031848110842,0.0,0
31,12,0,0,0,0,1,2484.549,0.0878523098568873,11.382739982921494,28280.97524182761,0
19,11,1,0,0,1,1,4146.603,0.7333783437683894,1.363552671683217,5654.111599059643,0
19,8,1,0,0,1,1,9970.681,0.6479769949233917,1.5432646650028476,15387.399673315258,0
27,11,1,0,0,1,1,0.0,0.7457330473380305,1.3409624309524717,0.0,0
26,11,1,0,1,1,1,26372.28,0.544638022438858,1.8360818723636976,48421.665240899696,0
20,10,1,0,0,1,1,5615.189,0.7080556041713593,1.4123184593253868,7930.43507730086,0
28,10,1,0,0,1,1,3196.571,0.7211375323604721,1.3866980362632604,4432.678728476087,0
24,12,1,0,0,0,1,6167.681,0.6169808427234132,1.620795867155134,9996.551874731244,0
19,8,1,0,0,1,1,7535.942,0.6479769949233917,1.5432646650028476,11629.953006110887,0
23,12,1,0,0,0,1,8484.239,0.6150840629786539,1.62579403400134,13793.625149241494,0
42,9,1,0,1,1,1,1294.409,0.5098864362359787,1.961221026748775,2538.622148012855,0
25,13,1,0,0,0,1,0.0,0.649914353664485,1.5386642783954343,0.0,0
18,9,1,0,0,1,1,5010.342,0.6761272240250764,1.479011589042171,7410.353883064727,0
21,12,1,0,0,0,1,9371.037,0.6112800426460187,1.635911415774917,15330.186405949133,0
27,10,1,0,0,1,1,0.0,0.7195220726924453,1.389811428936445,0.0,0
21,8,1,0,0,1,1,4279.613,0.651626561929032,1.5346212975721345,6567.585255166576,0
22,9,1,0,0,1,1,3462.564,0.6831111348019803,1.4638906453923917,5068.815048672461,0
31,4,1,0,0,1,1,7382.549,0.5426022701747529,1.842970542084049,13605.820332492054,0
24,10,1,0,1,1,1,0.0,0.507274475712285,1.9713193702400635,0.0,0
29,10,1,0,0,1,1,0.0,0.7227472728155471,1.3836095100080867,0.0,0
29,12,1,0,0,0,1,10976.51,0.6264104046720844,1.5963974936263767,17522.873052764862,0
19,10,0,0,0,1,1,13829.62,0.1197193631088696,8.352867690171607,115516.98606535108,0
19,11,0,1,1,1,1,6788.463,0.1152920513890933,8.673624833208583,58880.58125611764,0
31,9,1,0,0,1,1,9558.501,0.6985236172035126,1.431590822946582,13683.862312725729,0
22,10,1,0,1,1,1,13228.28,0.5032654494991153,1.987022953781686,26284.8959990512,0
21,9,1,0,0,1,1,743.6666,0.6813727190325857,1.467625533085331,1091.4240902627555,0
17,10,1,0,0,1,1,5522.788,0.7030579481314871,1.4223578620477786,7855.380932223126,0
26,12,1,0,1,0,1,1424.944,0.402239060504558,2.486083770048653,3542.530151628208,0
20,9,0,1,0,1,1,1358.643,0.1964523661196366,5.090292470140138,6915.890232508608,0
19,10,1,0,0,1,1,0.0,0.706395215260376,1.41563812777441,0.0,0
26,10,1,0,0,1,1,672.8773,0.7179009154943173,1.3929498882327525,937.2843598293564,0
28,11,1,0,0,1,1,0.0,0.7472505711159522,1.3382391913151557,0.0,0
22,12,0,1,1,0,1,10092.83,0.0698558852407096,14.315186137205137,144480.7401011681,0
33,11,1,0,0,1,1,6281.433,0.754747858025935,1.3249457939708886,8322.55823345994,0
22,12,0,0,0,0,1,12590.71,0.0822383720050439,12.159773784659397,153100.18538824888,0
29,10,0,1,0,1,1,5112.014,0.2310210451384146,4.3286099731773655,22127.91478342232,0
33,12,1,0,1,0,1,15952.6,0.4158067044946491,2.40496362658546,38365.42274946721,0
25,14,1,0,1,0,1,36646.95,0.4659573280386818,2.146119268494441,78648.72552655233,0
35,9,1,0,1,1,1,12803.97,0.4958545940324085,2.0167202483045688,25822.025557684246,0
35,8,1,0,1,1,1,3786.628,0.4624526160446966,2.1623837022544787,8188.142673700472,0
33,11,1,0,1,1,1,4181.942,0.558520969466951,1.7904430713754471,7487.52907879398,0
30,12,0,0,1,0,0,25564.67,0.0377932418196277,1.0392776723903898,26568.790733028425,0
26,12,0,0,1,0,0,25564.67,0.0366439406361194,1.038037795350886,26537.09368567293,0
25,16,0,0,1,0,0,25564.67,0.0605610578103113,1.0644651345505785,27212.699891291133,0
42,11,0,0,1,1,0,15491.01,0.0713789215923425,1.0768654979431855,16681.734197292866,0
25,9,1,0,1,1,0,0.0,0.4758258959714271,1.907763073975684,0.0,0
37,9,1,0,1,1,0,17833.2,0.4998639921682175,1.9994561166176688,35656.70081886622,0
32,12,0,0,1,0,0,14146.28,0.0383808042114878,1.0399126851664149,14710.896019915952,0
20,12,1,0,0,0,0,17765.23,0.6093729055613574,2.5599862739605075,45478.74495375143,0
38,9,0,1,1,1,0,0.0,0.104031643255023,1.116110845290303,0.0,0
39,10,0,0,1,1,0,4433.18,0.0615923987346906,1.0656350168643585,4724.151844062737,0
41,5,0,0,1,1,0,19451.31,0.0330200757359368,1.034147633169393,20115.526198544147,0
31,14,0,0,1,0,0,22094.97,0.0492052237066155,1.0517516765273354,23238.42174032118,0
34,8,0,0,1,1,0,5486.799,0.046021937972943,1.0482421344943231,5751.493895301318,0
29,12,0,0,1,0,0,6420.722,0.0375027104761118,1.038963964765722,6670.898785778496,0
22,14,1,0,1,0,0,18208.55,0.4599761548738664,1.851770082053376,33718.048127573,0
42,0,0,1,1,1,0,9922.934,0.0346848607973109,1.0359311269332825,10279.476201104582,0
25,9,0,1,0,1,0,7539.361,0.2028588181168627,1.2544829231349413,9457.999625849574,0
28,9,0,0,1,1,0,15406.78,0.0499379725135626,1.052562854917676,16216.604341888553,0
40,13,0,0,1,0,0,11911.95,0.0463967459120202,1.048654139667753,12491.51567901529,0
35,9,0,0,1,1,0,11087.38,0.0526694402967773,1.0555977422635636,11703.813295618187,0
27,10,0,1,1,1,0,17023.41,0.108367287651806,1.121538034833212,19092.40179756005,0
27,6,0,1,1,1,0,5661.171,0.0664161051540088,1.0711410142362892,6063.912446705068,0
36,12,0,0,1,0,0,21905.82,0.0395823421462134,1.0412136759695432,22808.639367327138,0
47,8,1,0,1,1,0,0.0,0.4864420799793749,1.947200035314106,0.0,0
40,11,0,0,1,1,0,25564.67,0.0703231413761666,1.0756425641058371,27498.44718931957,0
27,7,0,0,1,1,0,11149.45,0.0383629038896525,1.0398933277894788,11594.238663522408,0
36,9,1,0,1,1,0,0.0,0.4978592586866803,1.9914735406343624,0.0,0
39,6,0,1,1,1,0,25048.94,0.0726374863450821,1.078326959819417,27010.947316898983,0
21,9,0,0,1,1,0,1213.214,0.047341081266754,1.0496936315147332,1273.5030094645151,0
29,12,0,0,1,0,0,0.0,0.0375027104761118,1.038963964765722,0.0,0
22,13,0,1,0,0,0,9453.017,0.1727760609425362,1.2088625011739826,11427.397774260178,0
25,10,0,0,1,1,0,11688.82,0.0554141427802756,1.0586650142564915,12374.544791941566,0
27,12,0,0,1,0,0,7806.829,0.0369280743881486,1.0383440461777431,8106.174411677744,0
45,8,0,0,1,1,0,15931.37,0.0500534810893168,1.052690841108312,16770.80728530773,0
26,12,0,0,1,0,0,2838.713,0.0366439406361194,1.038037795350886,2946.6913841539003,0
27,12,0,0,1,0,0,14038.4,0.0369280743881486,1.0383440461777431,14576.68905786163,0
33,8,0,0,1,1,0,25514.43,0.0456711519457562,1.047856828428559,26735.46969896248,0
25,12,0,0,1,0,0,4162.756,0.0363619105371876,1.0377339905248637,4319.83339546132,0
49,8,0,0,1,1,0,7503.896,0.0516008317029552,1.0544083476956336,7912.170582639874,0
40,3,0,1,1,1,0,12104.06,0.0501866297969851,1.0528384115989629,12743.61930429854,0
22,12,1,0,1,0,0,2231.367,0.3945513964321133,1.6516678609993254,3685.477159994482,0
25,5,0,0,1,1,0,14617.67,0.0291599430112215,1.0300357847838149,15056.723190160828,0
25,12,0,0,1,0,0,19588.74,0.0363619105371876,1.0377339905248637,20327.90132955402,0
21,12,0,0,1,0,0,10746.03,0.0352545416663099,1.0365428428418846,11138.720485464177,0
33,9,0,1,1,1,0,25564.67,0.1003533233493681,1.1115474840889557,28416.3446200644,0
20,12,1,0,1,0,0,0.0,0.3907267861637196,1.641299793410437,0.0,0
19,11,0,0,1,1,0,837.871,0.0600790349217885,1.063919241248959,891.4270785845066,0
25,12,1,0,1,0,0,461.0507,0.4003124736705514,1.6675351013564903,768.8182257549809,0
29,12,0,0,1,0,0,24290.87,0.0375027104761118,1.038963964765722,25237.338602808733,0
20,12,0,0,1,0,0,6680.802,0.0349828167583129,1.0362509780818605,6922.987606871248,0
29,6,0,1,1,1,0,7196.528,0.0674174816497981,1.0722911702967195,7716.773431193112,0
25,13,0,0,1,0,0,13015.82,0.0413559641410292,1.043140063041203,13577.323295332952,0
41,15,0,0,1,0,0,24647.0,0.0602439719760481,1.0641059702513689,26227.01984878549,0
39,10,0,0,1,1,0,25564.67,0.0615923987346906,1.0656350168643585,27242.60754658176,0
33,12,0,0,1,0,0,2936.243,0.0386778647372138,1.0402340311519414,3054.379892331669,0
29,8,0,0,1,1,0,20575.86,0.0442933097958992,1.0463461334423012,21529.471553250107,0
21,11,0,0,1,1,0,10923.35,0.0609911074450898,1.064952640947991,11632.850430499238,0
31,12,0,0,1,0,0,22403.81,0.0380859348315932,1.0395939057455463,23290.86434148113,0
36,12,1,0,1,0,0,7215.739,0.4216619932730549,1.7290926557972826,12476.681311050028,0
25,7,0,0,1,1,0,122.6513,0.0377756047645866,1.039258622990269,127.46642114596638,0
35,7,0,0,1,1,0,15177.73,0.040800908724973,1.0425364338812475,15823.33650861243,0
22,9,0,0,1,1,0,4742.025,0.0477040523617605,1.0500937260943617,4979.570701482615,0
31,2,0,1,1,1,0,9732.307,0.0412263049319724,1.0429989945949103,10150.786416089011,0
