X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,t,TE,y,e,wt,v
d,e,0.89,-0.31,-0.28,-0.79,-0.37,-0.56,1.81,-0.86,0,3.3,6.0600000000000005,0.3,1.43,8.67
a,b,-1.15,-0.62,1.09,-1.94,1.39,-0.93,-0.99,-1.33,0,5.76,4.6,0.34,1.52,6.99
d,a,0.45,-0.7,0.16,0.01,-2.42,-0.09,0.38,-1.29,1,2.23,7.15,0.28,3.57,25.53
a,b,-1.34,-0.09,1.56,1.43,1.71,-0.87,0.55,-0.54,1,7.23,15.41,0.53,1.89,29.12
e,e,0.69,-0.09,-1.85,0.57,-2.08,2.35,2.71,-0.65,1,5.79,13.75,0.66,1.52,20.9
b,c,-0.05,0.08,0.37,0.59,-1.65,-1.03,0.84,0.45,1,4.0,7.99,0.28,3.57,28.52
e,c,-0.66,-1.32,0.36,-0.42,0.98,1.07,0.7,0.32,0,5.58,5.98,0.61,2.56,15.31
e,d,0.29,0.88,-0.73,-1.59,0.6,0.27,0.3,-0.13,1,6.66,12.88,0.9,1.11,14.3
e,c,-2.25,2.89,2.74,-0.51,0.83,0.09,0.25,0.34,1,12.45,19.1,0.9,1.11,21.2
e,c,1.07,-0.67,0.72,0.71,-2.55,1.47,0.66,-0.58,1,6.72,13.55,0.54,1.85,25.07
e,b,0.05,0.51,-0.28,0.53,-2.05,0.21,1.11,0.75,0,4.09,6.640000000000001,0.26,1.35,8.96
b,a,0.22,-0.78,0.07,-1.19,0.12,-0.17,0.5,1.39,0,4.93,6.720000000000001,0.86,7.14,47.98
b,b,0.85,-0.83,-0.97,-0.87,-0.87,-1.04,1.99,1.3,0,5.79,5.97,0.35,1.54,9.19
b,b,-0.59,0.05,2.48,-1.78,0.4,2.0,0.15,-0.55,1,8.08,16.11,0.73,1.37,22.07
a,e,1.27,2.26,-0.18,1.19,-0.96,0.26,0.64,-0.45,1,8.56,16.240000000000002,0.85,1.18,19.16
b,a,-0.53,0.63,0.87,-1.05,-0.61,0.42,-1.54,-1.03,1,4.15,8.06,0.8,1.25,10.08
a,d,0.33,0.81,0.27,-0.08,1.68,0.2,-0.53,-2.07,1,7.21,14.98,0.87,1.15,17.23
c,b,0.53,-0.45,-0.35,-0.11,-0.86,0.47,-0.14,2.65,0,6.94,5.86,0.68,3.13,18.34
a,d,-0.66,0.28,-0.61,0.73,-0.89,0.08,0.07,0.42,0,4.14,4.38,0.47,1.89,8.28
b,b,-1.88,0.58,0.1,1.18,-0.79,-0.13,-0.96,-0.84,0,3.49,5.02,0.25,1.33,6.68
d,e,0.63,0.54,-0.14,0.14,0.31,0.77,0.58,1.79,1,6.48,14.07,0.93,1.08,15.2
a,b,-0.02,1.49,-0.32,0.56,0.27,0.77,0.03,1.76,1,7.03,15.09,0.89,1.12,16.9
d,e,-2.03,0.86,0.7,0.77,1.75,1.33,-1.4,1.13,1,8.75,15.89,0.82,1.22,19.39
c,e,-0.44,0.22,0.45,-0.85,-1.37,0.16,0.14,-0.58,1,2.24,5.96,0.54,1.85,11.03
a,d,-0.91,0.01,-0.3,-0.06,1.85,0.58,1.34,-0.62,1,7.19,14.34,0.75,1.33,19.07
b,c,1.6,-0.02,0.13,0.06,0.37,-1.55,0.0,0.68,1,7.06,11.690000000000001,0.71,1.41,16.48
a,e,1.43,0.45,-0.67,-1.38,0.33,-1.81,-0.14,0.53,0,7.32,3.31,0.54,2.17,7.18
b,c,0.1,-0.26,-1.9,-0.05,1.06,-0.25,-0.41,0.4,1,4.51,10.4,0.85,1.18,12.27
c,b,0.7,0.89,-0.87,-0.49,0.3,1.0,1.41,-0.6,1,4.52,13.19,0.64,1.56,20.58
a,b,0.89,1.33,0.29,-0.22,-0.97,1.08,-0.01,1.46,1,9.03,16.58,0.88,1.14,18.9
d,e,1.79,-1.33,-0.47,-0.1,-1.05,-0.82,1.52,-0.62,0,5.37,5.95,0.57,2.33,13.86
d,b,0.26,-1.9,-0.67,-0.79,-0.81,-0.13,-0.14,-1.48,0,0.96,3.41,0.28,1.39,4.74
d,a,-0.49,0.79,-1.09,2.09,1.32,-0.47,-2.14,-2.15,0,4.74,5.39,0.65,2.86,15.42
a,c,-0.75,-0.73,-0.95,1.75,0.98,0.91,-0.71,0.85,1,6.35,12.09,0.87,1.15,13.9
c,b,-0.0,0.11,0.47,2.85,-1.44,-0.17,-1.81,0.61,0,3.2,6.1,0.49,1.96,11.96
d,e,0.22,2.18,0.58,-1.47,-1.25,1.79,-2.31,0.99,1,8.7,12.58,0.89,1.12,14.09
c,a,-0.92,-0.24,0.03,-1.21,-0.78,-0.08,1.73,0.66,1,2.95,7.63,0.54,1.85,14.12
a,b,-0.79,-0.02,-0.8,0.16,-1.04,-0.34,1.78,-1.25,0,2.43,6.17,0.26,1.35,8.33
b,d,0.79,-0.28,0.69,-0.13,-0.04,0.03,1.41,1.06,0,6.54,8.25,0.72,3.57,29.45
a,a,0.21,1.45,1.19,1.12,1.23,-1.32,1.72,-1.17,1,9.32,18.45,0.88,1.14,21.03
e,c,-0.11,0.7,-2.09,0.08,1.06,0.23,0.8,-0.52,1,5.09,11.620000000000001,0.66,1.52,17.66
e,d,-1.54,0.11,-1.2,-0.29,-0.86,0.23,-0.82,-0.43,0,2.84,3.08,0.23,1.3,4.0
d,a,2.28,-0.01,-0.19,1.26,0.5,1.41,0.42,0.39,1,8.69,18.869999999999997,0.93,1.08,20.38
d,e,-0.22,1.44,0.33,0.02,2.1,-2.07,-0.63,0.86,1,8.62,14.99,0.7,1.43,21.44
d,e,-0.81,-0.69,0.62,0.07,0.71,-0.62,0.01,-0.5,1,4.75,9.64,0.58,1.72,16.58
e,e,-0.99,-0.99,0.76,-2.31,-0.32,-1.07,0.31,-0.31,0,3.83,2.85,0.35,1.54,4.39
b,a,0.64,0.43,-1.81,0.52,-0.39,0.01,-0.29,0.49,1,4.61,11.09,0.89,1.12,12.42
e,c,2.28,-0.11,2.25,-0.61,-0.33,1.24,0.16,0.71,1,11.54,18.3,0.91,1.1,20.13
a,c,0.37,1.67,-1.36,-0.98,0.41,2.78,-0.61,0.55,1,8.85,16.67,0.87,1.15,19.17
e,b,1.87,0.99,2.3,-1.59,-1.11,-2.0,-0.52,0.27,1,11.3,14.48,0.66,1.52,22.01
b,a,-0.84,0.3,0.3,-0.71,0.5,-0.63,-0.82,1.09,1,3.97,8.99,0.55,1.82,16.36
c,e,1.91,0.93,-0.53,0.55,0.97,0.53,-0.19,-2.65,1,9.11,17.34,0.7,1.43,24.8
e,a,0.72,0.02,0.1,-0.61,-2.15,-0.14,1.14,0.72,0,4.46,4.76,0.41,1.69,8.04
e,b,-0.57,0.05,-0.37,-2.01,0.17,1.48,1.91,-0.22,0,3.84,7.73,0.61,2.56,19.79
e,b,0.58,-1.84,-1.2,0.4,0.48,-1.53,-0.87,-0.8,0,3.21,2.79,0.28,1.39,3.88
a,c,0.74,-0.26,0.04,1.1,0.53,-1.01,0.07,-1.08,1,4.35,10.14,0.64,1.56,15.82
d,b,0.13,1.18,0.87,0.7,0.47,0.96,0.28,0.76,0,7.54,9.0,0.9,10.0,90.0
c,e,0.15,0.53,0.25,0.99,1.07,-0.53,-1.03,-0.19,1,5.68,12.8,0.81,1.23,15.74
e,c,1.9,0.68,-2.32,0.73,-0.95,0.1,-1.53,-2.35,0,6.47,3.1,0.76,4.17,12.93
c,a,1.7,1.0,1.57,0.62,-1.46,2.08,-2.8,-0.13,1,10.64,18.05,0.93,1.08,19.49
b,c,-0.65,-0.69,-2.29,-1.47,-0.4,1.42,-0.95,0.49,1,3.34,7.6899999999999995,0.56,1.79,13.77
c,a,0.54,0.94,-0.58,1.2,-1.13,0.65,-0.71,-0.77,1,3.62,10.14,0.68,1.47,14.91
b,c,-0.6,-1.54,-0.94,0.34,0.68,-0.12,1.02,-1.53,1,2.16,7.970000000000001,0.58,1.72,13.71
e,a,-0.07,0.73,0.84,0.0,2.24,0.22,-1.14,0.3,1,9.13,16.009999999999998,0.91,1.1,17.61
b,c,-1.5,1.02,-0.32,-0.42,0.28,-0.12,-2.02,-2.24,1,4.82,7.91,0.3,3.33,26.34
b,e,-0.33,0.22,0.55,-0.27,-0.84,0.11,-0.85,0.02,1,4.63,8.58,0.66,1.52,13.04
c,a,-1.54,-0.33,-1.9,1.86,-0.47,0.97,-0.47,-0.03,0,2.1,6.23,0.41,1.69,10.53
a,b,0.11,-0.8,-0.47,-0.39,0.62,-0.77,0.36,0.65,1,4.64,9.93,0.7,1.43,14.2
a,b,-0.73,0.1,0.59,0.55,0.32,1.59,-0.96,2.0,1,7.59,14.63,0.91,1.1,16.09
d,b,-1.0,-0.66,0.64,2.26,-0.9,-1.52,0.02,-0.5,0,2.77,5.51,0.17,1.2,6.61
