X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,t,TE,y,e,wt,v
d,e,a,b,d,0.47,0.28,0.73,1.54,-0.99,1.16,0.04,0.57,0.11,0.15,-0.11,1.64,0.53,0.18,-1.38,1,16.01,25.400000000000002,0.83,1.2,30.48
a,a,b,e,e,-0.17,-1.03,-0.46,0.05,0.23,0.38,0.38,1.27,0.91,0.04,0.58,1.15,0.5,-0.26,-0.88,1,9.01,17.64,0.9,1.11,19.58
b,c,e,c,e,-0.8,0.41,0.27,0.78,-0.62,-1.35,-0.34,0.12,0.19,-0.34,-1.03,-0.56,-0.66,-0.4,0.17,1,4.65,9.68,0.41,2.44,23.62
d,e,c,e,c,-1.32,-0.61,-0.92,-0.38,-2.26,1.96,0.27,1.15,0.85,1.09,0.42,0.56,-0.59,-1.16,1.3,1,15.97,22.73,0.87,1.15,26.14
e,b,b,a,b,-0.64,-0.42,0.51,1.65,-0.63,0.22,-1.05,0.79,-1.21,-1.13,-0.24,-0.19,-0.49,-0.79,-0.85,1,8.61,14.280000000000001,0.71,1.41,20.13
b,b,b,a,e,0.15,1.17,1.23,-0.87,2.86,1.07,-0.95,-0.15,1.66,1.18,-2.16,0.96,-0.11,-1.46,0.76,1,20.32,31.12,0.86,1.16,36.1
b,a,a,d,c,-0.23,-0.64,-0.14,-0.27,-2.17,-0.23,-1.1,-1.43,-0.57,1.17,-0.4,1.51,0.86,-0.89,1.25,1,10.87,16.96,0.62,1.61,27.31
b,a,d,b,b,0.96,-0.3,0.34,-0.83,1.11,-0.27,-1.69,-0.74,0.34,-0.01,0.09,-0.36,0.4,0.72,0.09,1,9.88,17.19,0.71,1.41,24.24
d,e,a,b,d,1.78,-1.47,0.27,0.35,2.11,-0.54,-2.37,0.7,-1.2,1.56,0.75,-0.23,-0.44,-0.15,-0.74,1,15.24,22.78,0.64,1.56,35.54
e,c,e,a,d,1.63,0.36,-0.51,0.34,-0.61,-0.39,-1.82,-0.1,0.72,-0.44,0.89,-0.1,-0.85,-0.65,-0.43,0,7.56,7.41,0.51,2.04,15.12
b,c,a,e,b,-0.9,2.08,-1.24,-2.01,0.11,0.3,0.54,0.13,-1.02,0.49,-0.01,0.59,0.47,-0.7,-1.11,0,12.54,8.27,0.35,1.54,12.74
c,c,b,a,b,1.05,-0.14,-0.22,1.43,-1.27,1.15,-0.54,1.2,0.4,-0.75,-1.06,-0.07,-0.32,0.15,0.34,0,10.36,9.3,0.65,2.86,26.6
d,e,d,b,d,0.58,0.29,-0.89,-0.07,-0.3,1.18,-0.47,-1.04,-1.59,-1.12,-0.72,-1.12,-0.6,-0.19,-1.95,1,8.26,12.0,0.28,3.57,42.84
