Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Title,Pclass_over_1,Survived,e,wt,v,TE
male,22,1,0,7.25,S,Unknown,Mr,0,0,0.05031630460113239,1.0529821716903327,0.0,0
female,38,1,0,71.2833,C,C,Mr,1,1,0.999907108088971,1.0000929005407377,1.0000929005407377,0
female,26,0,0,7.925,S,Unknown,Miss,0,1,0.32434998508129953,1.4800562094567968,1.4800562094567968,0
female,35,1,0,53.1,S,C,Mr,1,1,0.9991653580027616,1.000835339206422,1.000835339206422,0
male,35,0,0,8.05,S,Unknown,Mr,0,0,0.20954584090349226,1.2650955004690012,0.0,0
male,33,0,0,8.4583,Q,Unknown,Mr,0,0,0.03122269074583284,1.0322289657773573,0.0,0
male,54,0,0,51.8625,S,E,Mr,1,0,0.9990814029272944,1.0009194416691314,0.0,0
male,2,3,1,21.075,S,Unknown,Master,0,0,0.04484701423645882,1.0469527027658387,0.0,0
female,27,0,2,11.1333,S,Unknown,Mr,0,1,0.13901832848675766,1.1614649104462609,1.1614649104462609,0
female,14,1,0,30.0708,C,Unknown,Mr,1,1,0.6156241153370124,1.6243678164760778,1.6243678164760778,0
female,4,1,1,16.7,S,G,Miss,0,1,0.1925740990386093,1.238503742336373,1.238503742336373,0
female,58,0,0,26.55,S,C,Miss,1,1,0.9932587585633584,1.0067869942031944,1.0067869942031944,0
male,20,0,0,8.05,S,Unknown,Mr,0,0,0.13996526489844496,1.1627437348584735,0.0,0
male,39,1,5,31.275,S,Unknown,Mr,0,0,0.05928334551885674,1.0630193430045678,0.0,0
female,14,0,0,7.8542,S,Unknown,Miss,0,0,0.243299827222442,1.3215273842602429,0.0,0
female,55,0,0,16.0,S,Unknown,Mr,1,1,0.7996293633141509,1.250579388249815,1.250579388249815,0
male,2,4,1,29.125,Q,Unknown,Master,0,0,0.006449196865206297,1.0064910589824478,0.0,0
male,31,0,0,13.0,S,Unknown,Mrs,1,1,0.4474287451156038,2.234992746703447,2.234992746703447,0
female,31,1,0,18.0,S,Unknown,Mr,0,0,0.45782359124734606,1.844418133759504,0.0,0
female,33,0,0,7.225,C,Unknown,Mr,0,1,0.22669467883687497,1.2931502895853666,1.2931502895853666,0
male,35,0,0,26.0,S,Unknown,Mr,1,0,0.7911423369814611,1.2639950527934307,0.0,0
male,34,0,0,13.0,S,D,Mr,1,1,0.8395506995568593,1.1911132949181398,1.1911132949181398,0
female,15,0,0,8.0292,Q,Unknown,Miss,0,1,0.039968272264021124,1.0416322410075731,1.0416322410075731,0
male,28,0,0,35.5,S,A,Mr,1,1,0.9874866488076247,1.0126719193697302,1.0126719193697302,0
female,8,3,1,21.075,S,Unknown,Miss,0,0,0.0334046828417272,1.0345591192598933,0.0,0
female,38,1,5,31.3875,S,Unknown,Mr,0,1,0.13045298385467172,1.1500240716516577,1.1500240716516577,0
male,33,0,0,7.225,C,Unknown,Mr,0,0,0.10810134350445783,1.1212036173809374,0.0,0
male,19,3,2,263.0,S,C,Mr,1,0,0.9999999999999956,1.0000000000000044,0.0,0
female,21,0,0,7.8792,Q,Unknown,Miss,0,1,0.04715828017939954,1.0494922495504062,1.0494922495504062,0
male,33,0,0,7.8958,S,Unknown,Mr,0,0,0.19535752924992308,1.2427879913768576,0.0,0
male,40,0,0,27.7208,C,Unknown,Royalty,1,0,0.9493235382733681,1.0533816551297173,0.0,0
female,33,1,0,146.5208,C,B,Mr,1,1,0.9999999992821964,1.0000000007178036,1.0000000007178036,0
female,21,0,0,7.75,Q,Unknown,Miss,0,1,0.046305546222137485,1.0485538591932748,1.0485538591932748,0
